,CVEGEO,year,state,municipality,crime_count
0,01001,2015,Aguascalientes,Aguascalientes,863
1,01002,2015,Aguascalientes,Asientos,8
2,01003,2015,Aguascalientes,Calvillo,17
3,01004,2015,Aguascalientes,Cosío,14
4,01005,2015,Aguascalientes,Jesús María,24
5,01006,2015,Aguascalientes,Pabellón de Arteaga,31
6,01007,2015,Aguascalientes,Rincón de Romos,16
7,01008,2015,Aguascalientes,San José de Gracia,2
8,01009,2015,Aguascalientes,Tepezalá,0
9,01010,2015,Aguascalientes,El Llano,5
10,01011,2015,Aguascalientes,San Francisco de los Romo,6
11,02001,2015,Baja California,Ensenada,124
12,02002,2015,Baja California,Mexicali,241
13,02003,2015,Baja California,Tecate,16
14,02004,2015,Baja California,Tijuana,448
15,02005,2015,Baja California,Playas de Rosarito,17
16,02006,2015,,,0
17,02007,2015,,,0
18,03001,2015,Baja California Sur,Comondú,6
19,03002,2015,Baja California Sur,Mulegé,83
20,03003,2015,Baja California Sur,La Paz,402
21,03008,2015,Baja California Sur,Los Cabos,148
22,03009,2015,Baja California Sur,Loreto,0
23,04001,2015,Campeche,Calkiní,3
24,04002,2015,Campeche,Campeche,30
25,04003,2015,Campeche,Carmen,30
26,04004,2015,Campeche,Champotón,1
27,04005,2015,Campeche,Hecelchakán,3
28,04006,2015,Campeche,Hopelchén,0
29,04007,2015,Campeche,Palizada,2
30,04008,2015,Campeche,Tenabo,0
31,04009,2015,Campeche,Escárcega,0
32,04010,2015,Campeche,Calakmul,7
33,04011,2015,Campeche,Candelaria,0
34,04012,2015,,,0
35,04013,2015,,,0
36,05001,2015,Coahuila de Zaragoza,Abasolo,0
37,05002,2015,Coahuila de Zaragoza,Acuña,285
38,05003,2015,Coahuila de Zaragoza,Allende,31
39,05004,2015,Coahuila de Zaragoza,Arteaga,3
40,05005,2015,Coahuila de Zaragoza,Candela,2
41,05006,2015,Coahuila de Zaragoza,Castaños,20
42,05007,2015,Coahuila de Zaragoza,Cuatro Ciénegas,6
43,05008,2015,Coahuila de Zaragoza,Escobedo,0
44,05009,2015,Coahuila de Zaragoza,Francisco I. Madero,46
45,05010,2015,Coahuila de Zaragoza,Frontera,51
46,05011,2015,Coahuila de Zaragoza,General Cepeda,4
47,05012,2015,Coahuila de Zaragoza,Guerrero,1
48,05013,2015,Coahuila de Zaragoza,Hidalgo,5
49,05014,2015,Coahuila de Zaragoza,Jiménez,12
50,05015,2015,Coahuila de Zaragoza,Juárez,0
51,05016,2015,Coahuila de Zaragoza,Lamadrid,0
