CVEGEO,year,state,municipality,crime_count,population,log_pop
1001,2015,Aguascalientes,Aguascalientes,863,873000.0,13.67969083482174
1002,2015,Aguascalientes,Asientos,8,48514.0,10.789607695065166
1003,2015,Aguascalientes,Calvillo,17,56193.0,10.936547472964001
1004,2015,Aguascalientes,Cosío,14,16021.0,9.681655640646714
1005,2015,Aguascalientes,Jesús María,24,114759.5,11.650593913167024
1006,2015,Aguascalientes,Pabellón de Arteaga,31,44754.0,10.708936105183218
1007,2015,Aguascalientes,Rincón de Romos,16,53262.5,10.882987797808168
1008,2015,Aguascalientes,San José de Gracia,2,8997.5,9.104702039953185
1009,2015,Aguascalientes,Tepezalá,0,21076.5,9.955913954714505
1010,2015,Aguascalientes,El Llano,5,19840.5,9.895480582134212
1011,2015,Aguascalientes,San Francisco de los Romo,6,48883.0,10.79718496675754
2001,2015,Baja California,Ensenada,124,451837.5,13.021077880899641
2002,2015,Baja California,Mexicali,241,991592.5,13.807067515580886
2003,2015,Baja California,Tecate,16,104759.5,11.559422525796208
2004,2015,Baja California,Tijuana,448,1741101.5,14.370028516878643
2005,2015,Baja California,Playas de Rosarito,17,108779.0,11.597073580068361
2006,2015,,,0,,
2007,2015,,,0,,
3001,2015,Baja California Sur,Comondú,6,71918.5,11.183288812420772
3002,2015,Baja California Sur,Mulegé,83,61568.0,11.027897534025378
3003,2015,Baja California Sur,La Paz,402,272056.0,12.513763206440212
3008,2015,Baja California Sur,Los Cabos,148,294799.0,12.594049047161308
3009,2015,Baja California Sur,Loreto,0,17395.0,9.763938087586043
4001,2015,Campeche,Calkiní,3,56061.0,10.934195662590366
4002,2015,Campeche,Campeche,30,276541.0,12.530114371049471
4003,2015,Campeche,Carmen,30,234969.5,12.367210997469162
4004,2015,Campeche,Champotón,1,80595.5,11.297198095670588
4005,2015,Campeche,Hecelchakán,3,30111.5,10.31266243757137
4006,2015,Campeche,Hopelchén,0,39958.5,10.5955966945204
4007,2015,Campeche,Palizada,2,8517.5,9.049878149535122
4008,2015,Campeche,Tenabo,0,10594.0,9.268043082104471
4009,2015,Campeche,Escárcega,0,57053.5,10.951744703101658
4010,2015,Campeche,Calakmul,7,29298.0,10.285274533289716
4011,2015,Campeche,Candelaria,0,44053.5,10.693160083372517
4012,2015,,,0,,
4013,2015,,,0,,
5001,2015,Coahuila de Zaragoza,Abasolo,0,1046.0,6.952728644624869
5002,2015,Coahuila de Zaragoza,Acuña,285,149906.5,11.917767045392068
5003,2015,Coahuila de Zaragoza,Allende,31,22865.5,10.037384503336119
5004,2015,Coahuila de Zaragoza,Arteaga,3,26061.0,10.16819522292803
5005,2015,Coahuila de Zaragoza,Candela,2,1725.5,7.453272142538058
5006,2015,Coahuila de Zaragoza,Castaños,20,27510.0,10.22230485391862
5007,2015,Coahuila de Zaragoza,Cuatro Ciénegas,6,12863.5,9.462149122504156
5008,2015,Coahuila de Zaragoza,Escobedo,0,2974.0,7.9976631270201
5009,2015,Coahuila de Zaragoza,Francisco I. Madero,46,57355.5,10.957024020313147
5010,2015,Coahuila de Zaragoza,Frontera,51,78812.0,11.274820548515859
5011,2015,Coahuila de Zaragoza,General Cepeda,4,11790.0,9.375006993531416
5012,2015,Coahuila de Zaragoza,Guerrero,1,1867.0,7.532088143541722
5013,2015,Coahuila de Zaragoza,Hidalgo,5,1793.5,7.491924296972337
5014,2015,Coahuila de Zaragoza,Jiménez,12,9718.5,9.181786564558122
5015,2015,Coahuila de Zaragoza,Juárez,0,1591.5,7.3724322467221475
5016,2015,Coahuila de Zaragoza,Lamadrid,0,1799.5,7.495264127519086
5017,2015,Coahuila de Zaragoza,Matamoros,126,112748.5,11.632914953507028
