rank,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21114,8037,8037,11020,11020,11020,11020,11020,11020,11020,11020
2,11020,11020,11020,8037,8037,2004,2004,2004,2004,2004,2004
3,8037,8019,2004,2004,2004,8037,8037,8037,24028,24028,24028
4,14039,9015,2002,2002,2002,5030,5030,5030,8037,8037,24035
5,14120,14039,9015,9015,9015,1001,19039,5035,19026,19026,19039
6,8019,2002,9014,9007,9007,2002,9015,1001,5035,5035,9015
7,9015,2004,9007,9014,5030,5035,5035,19039,5030,26030,26030
8,14098,9014,8019,1001,1001,9015,15057,21114,19039,19039,8037
9,26030,19039,19039,9005,5035,9007,26030,26030,26030,5030,1001
10,1001,22014,22014,5030,9014,19039,2002,9015,1001,9015,5035
