year,observed_g,expected_g,p_sim,p_norm,z_sim
2015,0.019756265679091726,0.0024028998703172185,0.001,0.0,17.10848450074564
2016,0.017347603161951424,0.0023924906563827903,0.001,0.0,14.87237410656347
2017,0.018071848882732132,0.0024174352998923114,0.002,0.0,9.94848343178305
2018,0.02147607592442091,0.0023416759368990736,0.001,0.0,12.244819547879377
2019,0.017639013919216243,0.0022791159748762916,0.001,0.0,11.101199449880138
2020,0.012860753108274935,0.002381515579226501,0.008,6.791554296725621e-07,5.118824063911151
2021,0.01357200818594185,0.0023709938236963664,0.006,9.31516991764525e-07,4.823598248802741
2022,0.014124230510015313,0.0023855846211593805,0.005,4.489725147216461e-09,5.305121979963967
2023,0.01576483704074542,0.0023895670631214616,0.006,1.5543122344752192e-15,6.892858175540523
2024,0.014879776072040706,0.0023800767403024804,0.001,3.4416913763379853e-15,7.686213152381783
2025,0.0165451259105341,0.0023188566930679726,0.001,0.0,11.455079151265828
