CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
01001,2015,863.0,0.0005416945480036962,0.05773266218737672,ns,0.223,False,Aguascalientes,Aguascalientes
01002,2015,8.0,0.0023126245646528294,0.804268213813594,HS,0.04,True,Aguascalientes,Asientos
01003,2015,17.0,0.0025686901693667157,0.9119875218436789,HS,0.034,True,Aguascalientes,Calvillo
01004,2015,14.0,0.00011409319400540935,-0.12200910145298993,ns,0.3,False,Aguascalientes,Cosío
01005,2015,24.0,0.0037013915460055984,1.3889378010414917,HS,0.025,True,Aguascalientes,Jesús María
01006,2015,31.0,0.00018798254447801276,-0.09085061724968821,ns,0.304,False,Aguascalientes,Pabellón de Arteaga
01007,2015,16.0,0.00014094432699083862,-0.11069299076782846,ns,0.389,False,Aguascalientes,Rincón de Romos
01008,2015,2.0,0.00030864818803384394,-0.04005844594895105,ns,0.254,False,Aguascalientes,San José de Gracia
01009,2015,0.0,0.0002415410317827741,-0.06833856310949712,ns,0.253,False,Aguascalientes,Tepezalá
01010,2015,5.0,0.005233915774216925,2.035201252680607,HS,0.016,True,Aguascalientes,El Llano
01011,2015,6.0,0.004660291897332663,1.7934684678958657,HS,0.02,True,Aguascalientes,San Francisco de los Romo
02001,2015,124.0,0.0024281803445191054,0.8510944892431962,HS,0.039,True,Baja California,Ensenada
02002,2015,241.0,0.004429611650485437,1.689442721442288,HS,0.02,True,Baja California,Mexicali
02003,2015,16.0,0.005456558944931038,2.128533825628402,HS,0.017,True,Baja California,Tecate
02004,2015,448.0,0.0010629726673843424,0.27603535139529645,ns,0.098,False,Baja California,Tijuana
02005,2015,17.0,0.005758698453608248,2.255765813681977,HS,0.021,True,Baja California,Playas de Rosarito
02006,2015,0.0,0.0013888609327509511,0.41513357132287204,ns,0.084,False,,
02006,2015,0.0,0.0013888609327509511,0.41513357132287204,ns,0.084,False,Baja California,San Quintín
02007,2015,0.0,0.002448957683353126,0.8618505142486866,ns,0.05,False,,
02007,2015,0.0,0.002448957683353126,0.8618505142486866,ns,0.05,False,Baja California,San Felipe
03001,2015,6.0,0.0032544875020969633,1.2011461806949284,HS,0.033,True,Baja California Sur,Comondú
03002,2015,83.0,4.0324206621234725e-05,-0.15288192903172673,ns,0.46,False,Baja California Sur,Mulegé
03003,2015,402.0,0.0015625317072180847,0.48539290402147056,ns,0.075,False,Baja California Sur,La Paz
03008,2015,148.0,0.008115801586820907,3.2408874701556227,HS,0.013,True,Baja California Sur,Los Cabos
03009,2015,0.0,0.0008957146595277872,0.20732537318966066,ns,0.097,False,Baja California Sur,Loreto
04001,2015,3.0,1.0064817424211925e-05,-0.16587064565767828,ns,0.069,False,Campeche,Calkiní
04002,2015,30.0,5.035145314293771e-06,-0.16789821090569382,ns,0.087,False,Campeche,Campeche
04003,2015,30.0,3.776358985720328e-05,-0.15411507475061512,ns,0.256,False,Campeche,Carmen
04004,2015,1.0,0.00022477187332259796,-0.07540340204748036,ns,0.288,False,Campeche,Champotón
