CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
01001,2015,863.0,0.38785806395431427,1,ns,0.223,False,Aguascalientes,Aguascalientes
01002,2015,8.0,-0.08219798847045975,2,LH,0.04,True,Aguascalientes,Asientos
01003,2015,17.0,-0.02358419363637687,2,LH,0.034,True,Aguascalientes,Calvillo
01004,2015,14.0,0.006258693408338228,3,ns,0.291,False,Aguascalientes,Cosío
01005,2015,24.0,0.04654770501242276,1,HH,0.025,True,Aguascalientes,Jesús María
01006,2015,31.0,-0.008442303061911953,4,ns,0.304,False,Aguascalientes,Pabellón de Arteaga
01007,2015,16.0,0.0038009239992058985,3,ns,0.388,False,Aguascalientes,Rincón de Romos
01008,2015,2.0,0.006123004438612185,3,ns,0.252,False,Aguascalientes,San José de Gracia
01009,2015,0.0,0.011609402749509315,3,ns,0.252,False,Aguascalientes,Tepezalá
01010,2015,5.0,-0.25978478531395877,2,LH,0.016,True,Aguascalientes,El Llano
01011,2015,6.0,-0.21371664780999128,2,LH,0.02,True,Aguascalientes,San Francisco de los Romo
02001,2015,124.0,0.7499828366548481,1,HH,0.039,True,Baja California,Ensenada
02002,2015,241.0,3.162502785712671,1,HH,0.02,True,Baja California,Mexicali
02003,2015,16.0,-0.07309822778333641,2,LH,0.016,True,Baja California,Tecate
02004,2015,448.0,0.9939772497375571,1,ns,0.098,False,Baja California,Tijuana
02005,2015,17.0,-0.05833419173325629,2,LH,0.021,True,Baja California,Playas de Rosarito
02006,2015,0.0,-0.07060577402447879,2,ns,0.084,False,,
02006,2015,0.0,-0.07060577402447879,2,ns,0.084,False,Baja California,San Quintín
02007,2015,0.0,-0.14657067420161396,2,ns,0.05,False,,
02007,2015,0.0,-0.14657067420161396,2,ns,0.05,False,Baja California,San Felipe
03001,2015,6.0,-0.1431351235539651,2,LH,0.033,True,Baja California Sur,Comondú
03002,2015,83.0,-0.08174119224582205,4,ns,0.486,False,Baja California Sur,Mulegé
03003,2015,402.0,1.5649433115829663,1,ns,0.075,False,Baja California Sur,La Paz
03008,2015,148.0,3.515929999648751,1,HH,0.013,True,Baja California Sur,Los Cabos
03009,2015,0.0,-0.03526767172688742,2,ns,0.097,False,Baja California Sur,Loreto
04001,2015,3.0,0.0239774750822876,3,ns,0.069,False,Campeche,Calkiní
04002,2015,30.0,-0.014174305569402397,4,ns,0.147,False,Campeche,Campeche
04003,2015,30.0,-0.013010941527300321,4,ns,0.256,False,Campeche,Carmen
04004,2015,1.0,0.01217237019772187,3,ns,0.286,False,Campeche,Champotón
04005,2015,3.0,0.023670839398098727,3,ns,0.246,False,Campeche,Hecelchakán
04006,2015,0.0,0.005359126152656418,3,ns,0.314,False,Campeche,Hopelchén
04007,2015,2.0,0.012182604209952475,3,ns,0.211,False,Campeche,Palizada
04008,2015,0.0,0.013051774271859983,3,ns,0.208,False,Campeche,Tenabo
04009,2015,0.0,0.015215331555385988,3,ns,0.245,False,Campeche,Escárcega
04010,2015,7.0,-0.004648015204451029,2,ns,0.198,False,Campeche,Calakmul
04011,2015,0.0,0.014133552913622985,3,ns,0.234,False,Campeche,Candelaria
04012,2015,0.0,0.006561102421281976,3,ns,0.149,False,,
04012,2015,0.0,0.006561102421281976,3,ns,0.149,False,Campeche,Seybaplaya
04013,2015,0.0,0.026754303734191336,3,ns,0.358,False,,
04013,2015,0.0,0.026754303734191336,3,ns,0.358,False,Campeche,Dzitbalché
05001,2015,0.0,-0.1107037023458274,2,ns,0.06,False,Coahuila de Zaragoza,Abasolo
05002,2015,285.0,0.11343741798679044,1,ns,0.157,False,Coahuila de Zaragoza,Acuña
05003,2015,31.0,0.008627980950969937,1,ns,0.14,False,Coahuila de Zaragoza,Allende
05004,2015,3.0,-0.11809705859188813,2,LH,0.043,True,Coahuila de Zaragoza,Arteaga
05005,2015,2.0,-0.043435865119849475,2,ns,0.112,False,Coahuila de Zaragoza,Candela
05006,2015,20.0,-0.00022014072123680372,2,ns,0.061,False,Coahuila de Zaragoza,Castaños
05007,2015,6.0,-0.01533595950725428,2,ns,0.176,False,Coahuila de Zaragoza,Cuatro Ciénegas
05008,2015,0.0,0.016657703077736653,3,ns,0.264,False,Coahuila de Zaragoza,Escobedo
05009,2015,46.0,0.0649427792472292,1,ns,0.115,False,Coahuila de Zaragoza,Francisco I. Madero
05010,2015,51.0,0.12384522939058482,1,ns,0.084,False,Coahuila de Zaragoza,Frontera
05011,2015,4.0,-0.20199858767531503,2,LH,0.027,True,Coahuila de Zaragoza,General Cepeda
05012,2015,1.0,0.011372953517994158,3,ns,0.214,False,Coahuila de Zaragoza,Guerrero
05013,2015,5.0,0.016292719007503943,3,ns,0.315,False,Coahuila de Zaragoza,Hidalgo
05014,2015,12.0,-0.10555300479773166,2,LH,0.027,True,Coahuila de Zaragoza,Jiménez
05015,2015,0.0,0.007694394331700359,3,ns,0.279,False,Coahuila de Zaragoza,Juárez
05016,2015,0.0,0.023148374928314664,3,ns,0.381,False,Coahuila de Zaragoza,Lamadrid
05017,2015,126.0,0.8711264830271821,1,HH,0.039,True,Coahuila de Zaragoza,Matamoros
05018,2015,401.0,-0.04930006300045581,4,ns,0.181,False,Coahuila de Zaragoza,Monclova
05019,2015,9.0,-0.01951536106764144,2,ns,0.123,False,Coahuila de Zaragoza,Morelos
05020,2015,76.0,0.1492423763252973,1,ns,0.104,False,Coahuila de Zaragoza,Múzquiz
05021,2015,3.0,0.0030035942837689927,3,ns,0.218,False,Coahuila de Zaragoza,Nadadores
05022,2015,34.0,0.04193860687565529,1,ns,0.104,False,Coahuila de Zaragoza,Nava
05023,2015,7.0,-0.02835198352582185,2,ns,0.121,False,Coahuila de Zaragoza,Ocampo
05024,2015,17.0,-0.017348621389957568,2,LH,0.047,True,Coahuila de Zaragoza,Parras
05025,2015,313.0,-0.03615539849655112,4,ns,0.15,False,Coahuila de Zaragoza,Piedras Negras
05026,2015,2.0,-0.007542011372267451,2,ns,0.2,False,Coahuila de Zaragoza,Progreso
05027,2015,115.0,0.40042226963953614,1,ns,0.066,False,Coahuila de Zaragoza,Ramos Arizpe
05028,2015,73.0,0.01505183413729622,1,ns,0.211,False,Coahuila de Zaragoza,Sabinas
05029,2015,0.0,0.005839916660106642,3,ns,0.225,False,Coahuila de Zaragoza,Sacramento
05030,2015,453.0,-0.09496426186423201,4,ns,0.277,False,Coahuila de Zaragoza,Saltillo
05031,2015,30.0,-0.00013723174272017963,4,ns,0.24,False,Coahuila de Zaragoza,San Buenaventura
05032,2015,42.0,0.08599100203965256,1,ns,0.071,False,Coahuila de Zaragoza,San Juan de Sabinas
05033,2015,110.0,0.130405288327964,1,ns,0.128,False,Coahuila de Zaragoza,San Pedro
05034,2015,2.0,0.01026579203738565,3,ns,0.307,False,Coahuila de Zaragoza,Sierra Mojada
05035,2015,542.0,1.0045250566221346,1,ns,0.113,False,Coahuila de Zaragoza,Torreón
05036,2015,6.0,-0.07103752837119853,2,ns,0.059,False,Coahuila de Zaragoza,Viesca
05037,2015,8.0,-0.006718932176979495,2,ns,0.163,False,Coahuila de Zaragoza,Villa Unión
05038,2015,9.0,-0.0806420302995964,2,LH,0.041,True,Coahuila de Zaragoza,Zaragoza
06001,2015,33.0,0.10462053822047858,1,HH,0.042,True,Colima,Armería
06002,2015,91.0,0.04186234050034905,1,ns,0.201,False,Colima,Colima
06003,2015,2.0,0.018427701933476655,3,ns,0.415,False,Colima,Comala
06004,2015,5.0,-0.07230470231395891,2,ns,0.068,False,Colima,Coquimatlán
06005,2015,29.0,-0.0018560363434248202,4,ns,0.241,False,Colima,Cuauhtémoc
06006,2015,3.0,-0.08825118533083826,2,ns,0.059,False,Colima,Ixtlahuacán
06007,2015,210.0,-0.12365808051348048,4,ns,0.252,False,Colima,Manzanillo
06008,2015,4.0,-0.019571817975963784,2,ns,0.145,False,Colima,Minatitlán
06009,2015,182.0,0.08098976365135657,1,ns,0.161,False,Colima,Tecomán
06010,2015,1.0,-0.008429739662689478,2,ns,0.168,False,Colima,Villa de Álvarez
07001,2015,2.0,0.023111525226119787,3,ns,0.476,False,Chiapas,Acacoyagua
07002,2015,3.0,0.021261559022329048,3,ns,0.401,False,Chiapas,Acala
07003,2015,2.0,0.019800386779637413,3,ns,0.384,False,Chiapas,Acapetahua
07004,2015,0.0,0.025672525092428337,3,ns,0.473,False,Chiapas,Altamirano
07005,2015,1.0,0.024343081280923384,3,ns,0.363,False,Chiapas,Amatán
